iter,rmse,mederr
1,1.11604298105439,0.244661309974512
2,1.44934327721777,0.249609187702251
3,1.3984870749323,0.271805747910352
4,1.37934608421562,0.260337761189797
5,1.46494333740796,0.257175141623546
6,1.22581154234132,0.252054000499426
7,1.305349607915,0.266168858086677
8,1.18620496271627,0.266480730188624
9,1.47192486080901,0.259298570950816
10,1.55586183474076,0.259313934745531
11,1.41615086719295,0.275079601197416
12,1.23231347392291,0.260689801919205
13,1.30071524843156,0.240282306919695
14,1.60673278008771,0.279602391426875
15,1.65839580343408,0.253987468226395
16,1.36962515242217,0.249077647484261
17,1.60837416108805,0.269488228804015
18,1.14317116679655,0.269653045546087
19,1.27860071255665,0.255659424744837
20,1.35929160652619,0.237862375978802
21,1.36599992807353,0.254244488545914
22,1.34239223091995,0.260829684218923
23,1.5845025402886,0.255630807354649
24,1.38327643217612,0.275394861218439
25,1.27732634479617,0.263775463268529
26,1.27226280467141,0.283743979973043
27,1.30314508340061,0.287837581167192
28,1.20262490419182,0.268555279003423
29,1.22321825532698,0.228876811928494
30,1.24149559849234,0.242619438572324
31,1.70871062563042,0.267377056207851
32,1.50256789200745,0.257138521138946
33,1.25676418103352,0.257051749601963
34,1.2374295107011,0.262535503465257
35,1.19478468279167,0.254619614045381
36,1.6531747669574,0.245535776066764
37,2.5622033726783,0.261307398752442
38,1.15885841353639,0.264687173986312
39,1.62846478547767,0.235923548124985
40,1.67399452641533,0.27022712629008
41,1.2276689680546,0.278469945723505
42,1.2276623143207,0.247382846027783
43,1.46186034911442,0.283793213395135
44,1.44022013358322,0.261166170601598
45,1.49758686199408,0.273498436260448
46,1.29715032107949,0.260872836608655
47,1.13955047454325,0.25158286815567
48,1.39522303705939,0.256847623680926
49,1.40307466668805,0.273146783054166
50,1.25370220648445,0.254566139915494
51,1.55216592851809,0.284859820105889
52,1.4514194280093,0.234474351054531
53,1.20029062511286,0.272577405388986
54,1.55906447476694,0.243205553825812
55,1.52499182878012,0.262672285415353
56,1.69044177049203,0.258019790343685
57,1.33093610121725,0.255276315554134
58,1.47295226010696,0.253075400234019
59,1.25720611350251,0.258141042495765
60,1.33994368938888,0.268598103309086
61,1.3166931727798,0.272269745705962
62,1.33901046138361,0.260249230406978
63,1.23301971224371,0.240659293380557
64,1.74068444343462,0.277471501858684
65,1.72777087932231,0.250560437321348
66,1.57874911402751,0.278378574496511
67,1.38639050814786,0.268908246823211
68,1.39613407068402,0.263187128128697
69,1.19053925127355,0.266219362995669
70,1.40231820931212,0.265472383034058
71,1.46876349402001,0.267171256900378
72,1.27245441301466,0.26854181048843
73,1.46601975821,0.252143089350945
74,1.26806128988035,0.276540013968157
75,1.3410649071996,0.265659900631391
76,1.27328887431088,0.26808610387901
77,1.4976768797816,0.259970054821182
78,1.64333975083507,0.276318204928147
79,1.7027829405082,0.253573035964022
80,1.67800232621829,0.28665493121734
81,1.52679571041094,0.256326677349967
82,1.38635264579548,0.250725215327087
83,1.62275126561965,0.267388728561821
84,1.52993842993898,0.266915729893071
85,1.50861130229104,0.267520768460804
86,1.36289665843611,0.274175338923117
87,1.57186210139685,0.276132036022128
88,1.133677280511,0.268873561790075
89,1.31000736560024,0.2623325407587
90,2.16138469176718,0.269508412211212
91,1.69938083280144,0.259528042861444
92,1.46491899178233,0.259812075051109
93,1.55336803718166,0.249248933837496
94,1.16536760305246,0.271158254645955
95,1.78689357988092,0.256856208740242
96,1.50246449586656,0.256170509429048
97,1.26507066319094,0.265198943271398
98,1.50277463675237,0.237883658096539
99,1.51354351007106,0.265462748828111
100,1.57524785125463,0.264128418199165
